IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
162.159.141.132,4,4,0.00,83.45,9.16
162.159.143.156,4,4,0.00,86.40,8.23
162.159.128.232,4,4,0.00,83.47,7.86
162.159.135.39,4,4,0.00,86.46,7.54
162.159.134.28,4,4,0.00,83.46,7.50
162.159.136.34,4,4,0.00,86.72,7.37
162.159.140.29,4,4,0.00,83.97,7.29
162.159.130.74,4,4,0.00,86.85,7.05
104.17.51.114,4,4,0.00,33.28,0.06
104.17.210.134,4,4,0.00,34.00,0.00
